legacy_feature,new_feature
feature_charisma1,feature_revitalizing_dashing_photomultiplier
feature_charisma2,feature_unco_terefah_thirster
feature_charisma3,feature_vestmental_hoofed_transpose
feature_charisma4,feature_unsparred_scarabaeid_anthologist
feature_charisma5,feature_intended_involute_highbinder
feature_charisma6,feature_recidivism_petitory_methyltestosterone
feature_charisma7,feature_acerb_venusian_piety
feature_charisma8,feature_terrific_epigamic_affectivity
feature_charisma9,feature_headhunting_unsatisfied_phenomena
feature_charisma10,feature_jiggish_tritheist_probity
feature_charisma11,feature_whitened_remanent_blast
feature_charisma12,feature_glyptic_unrubbed_holloway
feature_charisma13,
feature_charisma14,feature_descendent_decanal_hon
feature_charisma15,feature_synoptic_botryose_earthwork
feature_charisma16,feature_desiderative_commiserative_epizoa
feature_charisma17,feature_nucleophilic_uremic_endogen
feature_charisma18,feature_questionable_diplex_caesarist
feature_charisma19,feature_sudsy_polymeric_posteriority
feature_charisma20,feature_chopfallen_fasciate_orchidologist
feature_charisma21,feature_casemated_ibsenian_grantee
feature_charisma22,feature_tonal_graptolitic_corsac
feature_charisma23,feature_sallowish_cognisant_romaunt
feature_charisma24,feature_unnourishing_indiscreet_occiput
feature_charisma25,feature_phellogenetic_vibrational_jocelyn
feature_charisma26,feature_flavourful_seismic_erica
feature_charisma27,feature_maximal_unobserving_desalinisation
feature_charisma28,feature_invalid_chromatographic_cornishman
feature_charisma29,feature_built_reincarnate_sherbet
feature_charisma30,feature_zarathustrian_albigensian_itch
feature_charisma31,feature_cerebrovascular_weeny_advocate
feature_charisma32,feature_telephonic_shakable_bollock
feature_charisma33,feature_petitionary_evanescent_diallage
feature_charisma34,feature_irresponsive_compositive_ramson
feature_charisma35,feature_chaotic_granitoid_theist
feature_charisma36,feature_encompassing_skeptical_salience
feature_charisma37,feature_congenital_conched_perithecium
feature_charisma38,feature_unamazed_tumular_photomicrograph
feature_charisma39,feature_hypersonic_volcanological_footwear
feature_charisma40,feature_uninclosed_handcrafted_springing
feature_charisma41,feature_methylated_necrophilic_serendipity
feature_charisma42,feature_leisurable_dehortatory_pretoria
