v3_feature,v4_feature,correlation
feature_aberdeen_tangled_providence,feature_smuggest_galvanic_memorial,1
feature_aberrant_frustrate_drosophila,feature_leprose_corroborant_incapacitation,0.9702079799201
feature_absent_herpetological_genitor,feature_emarginate_enigmatical_yiddish,0.99559677690643
feature_abstersive_emotional_misinterpreter,feature_torose_unspiritualised_kylie,1
feature_accessorial_aroused_crochet,feature_received_veiniest_tamarix,1
feature_accountable_ethnographic_counterexample,feature_reviving_mystifying_antwerp,0.997751545654347
feature_accusatory_disinfectant_deportment,feature_disprovable_topmost_burrower,0.748266798884621
feature_acerb_venusian_piety,feature_crooked_wally_lobation,0.931515828055324
feature_acoustical_infirm_ascent,feature_whiskered_unobjectionable_quintet,0.953531943523175
feature_acquirable_helvetic_tercel,feature_nutant_legatine_fairfax,0.999250515218116
feature_adducent_ailing_gene,feature_resorbent_unmurmuring_humoring,0.99643994728605
feature_adept_unsensitive_hieroglyph,feature_flauntier_forethoughtful_festival,0.967865839976712
feature_adventive_eristic_wedlock,feature_sematic_helminthoid_tricentenary,0.997938916849818
feature_adynamic_glossier_ghana,feature_suety_mystagogical_islamization,0.995128348917752
feature_aesthetical_daltonian_anemology,feature_alive_romansh_stinging,1
feature_affable_yellow_terne,feature_constrained_disused_perishable,0.996721004079256
feature_affined_pushier_haranguer,feature_ugly_admissible_firm,0.984541876373637
feature_affricative_bromic_raftsman,feature_unlivable_armenian_wedge,1
feature_afloat_brickiest_supernationalism,feature_interatomic_doggish_teutonisation,0.990912497019653
feature_aggrieved_rammish_tommy,feature_belittled_scenographic_antidisestablishmentarianism,0.993535693756248
feature_agile_unrespited_gaucho,feature_esculent_erotic_epoxy,0.998126288045289
feature_agronomic_cryptal_advisor,feature_translative_quantitative_eschewer,0.973674347036315
feature_airborne_genitival_cathouse,feature_tiptoe_decadent_statue,0.987446129903438
feature_aliped_subclavicular_nasopharynx,feature_craggier_windier_apologia,0.988101929087588
feature_alkaline_pistachio_sunstone,feature_professional_platonic_marten,0.984167133982695
feature_alleviatory_novercal_semivowel,feature_easterly_subtractive_faroese,0.935075880769275
feature_alloyed_copyright_protium,feature_adventive_isohyetal_newshawk,0.989319841858149
feature_aloetic_presented_scarer,feature_handled_crescent_ciselure,0.997002060872463
feature_altern_unnoticed_impregnation,feature_refractory_topped_dependance,0.998594716033967
feature_ambisexual_boiled_blunderer,feature_revitalizing_rutilant_swastika,1
feature_amoebaean_wolfish_heeler,feature_seaboard_adducent_polynesian,0.995690462504166
feature_amoebic_scarabaeid_gypsum,feature_incognita_cleaned_asphyxiant,0.974423831818199
feature_amphictyonic_secretarial_induline,feature_tearing_inharmonic_employee,0.995877833699637
feature_amygdaloidal_intersectional_canonry,feature_basophil_urdy_matzo,0.99747048886114
feature_anoxic_froward_europe,feature_excaudate_laboured_loquitur,0.992692523376628
feature_antarthritic_rhinocerotic_marquette,feature_concealed_artful_thaw,1
feature_antediluvial_contributive_statecraft,feature_tinkliest_unstuffy_manhunt,0.986228217132876
feature_antichristian_slangiest_idyllist,feature_corporatist_seborrheic_hopi,1
feature_antinomical_swart_coo,feature_plentiful_numeral_pascal,1
feature_antipathetical_terrorful_ife,feature_spikier_ordinate_taira,0.975548058991026
feature_antiperspirant_degradable_voltaire,feature_unsympathetic_classic_abac,0.99391043614719
feature_antiphrastical_tipsy_chinquapin,feature_certified_sensorial_occiput,0.890668907442632
feature_antipodal_unable_thievery,feature_recent_shorty_preferment,0.996533632883785
feature_antiscorbutic_visored_convalescent,feature_intrusive_sniffy_gangland,1
feature_antisubmarine_foregoing_cryosurgery,feature_favourable_swankiest_tympanist,0.999531572011322
feature_apogamic_obeisant_pondicherry,feature_applausive_forgettable_mishanter,0.997938916849818
feature_apomictical_motorized_vaporisation,feature_unsizable_ancestral_collocutor,1
feature_apophthegmatical_catechetical_millet,feature_unsheltered_doughtiest_episiotomy,0.994847292124546
feature_apostate_impercipient_knighthood,feature_shiite_overfed_mense,0.956436197052977
feature_appalachian_realistic_butyrate,feature_freezing_unrenewed_gillray,0.97985759648686
feature_appraisive_anagrammatical_tentacle,feature_isobilateral_olden_nephron,0.985291361155521
feature_arborescent_fungal_despiser,feature_bespoke_combining_farrow,0.994097807342661
feature_archaean_seething_hoyle,feature_adherent_judaic_gerry,0.998501030436232
feature_architectonic_godlier_southland,feature_dyspeptic_unobstructive_rewriting,0.997751545654347
feature_arillate_nickelic_hemorrhage,feature_coordinate_shyer_evildoing,0.853194668348419
feature_aristotelian_eurasian_nooky,feature_congolese_convenable_coolth,0.997657860056612
